ID,w1,w2,w3 ,w4,w5,w6,w7
1047,1,1,0,0,0,0,0
1037,1,0,0,0,0,0,0
1038,1,1,1,1,1,1,1
1036,1,1,0,0,0,0,0
1039,1,0,0,0,0,0,0
1103,0,1,0,0,0,0,0
1104,0,1,0,0,0,0,0
1156,0,0,1,1,0,1,1
1157,0,0,1,0,0,0,0
1192,0,0,0,1,0,0,0
1229,0,0,0,0,1,1,1
1228,0,0,0,0,1,1,1
1227,0,0,0,0,1,1,0
